date,a2c,dji
2022-07-14,974453.7260408975,892319.4843081833
2022-07-15,981081.4877596475,911490.9871598236
2022-07-18,974945.8477144815,905208.6503055337
2022-07-19,990651.2359591104,927187.0711984901
2022-07-20,990460.1281099893,928579.264311174
2022-07-21,999087.2315188028,933300.4194331678
2022-07-22,1002088.1493960001,929291.5200486506
2022-07-25,1003124.0794649698,931935.2531199169
2022-07-26,992259.9143953897,925278.5808688496
2022-07-27,1007610.0169344522,937981.6317905261
2022-07-28,1024052.1306124307,947654.6655538832
2022-07-29,1029734.318097172,956845.7688094575
2022-08-01,1040306.5642519571,955484.4146973898
2022-08-02,1032370.2272921182,943766.6755352501
2022-08-03,1044521.9440584757,955895.2220487702
2022-08-04,1040909.723691044,953399.1975487205
2022-08-05,1033944.2650118448,955632.1232686064
2022-08-08,1034934.1064272501,956479.0009165215
2022-08-09,1028963.250744877,954785.5870118419
2022-08-10,1042860.6834536173,970374.189736553
2022-08-11,1039527.0001497843,971165.4206268988
2022-08-12,1052871.2266207314,983528.4459624465
2022-08-15,1062359.7912874795,987938.7644416991
2022-08-16,1074264.8545809365,994917.9375331576
2022-08-17,1068655.3718691445,989916.2157837874
2022-08-18,1071100.847165165,990461.5312485562
2022-08-19,1062085.653515873,981946.2117758553
2022-08-22,1045816.4107485391,963210.5516266491
2022-08-23,1043462.1934786417,958723.6477325823
2022-08-24,1046620.6885042764,960461.1010957062
2022-08-25,1053686.2462435341,969857.664925496
2022-08-26,1023482.8781405069,940481.4684917589
2022-08-29,1020731.5473452188,935109.2235467946
2022-08-30,1009921.5580568888,926133.0260206059
2022-08-31,1002645.0460482218,917963.2512909707
2022-09-01,1009284.032284794,922216.2453482611
2022-09-02,997245.1580477335,912370.183170008
2022-09-06,992650.6350222208,907326.2996135225
2022-09-07,1014191.6978579141,920027.2452897694
2022-09-08,1015116.8611879923,925656.7284668101
2022-09-09,1027841.62104517,936645.0854354113
2022-09-12,1034622.168500004,943334.6450339991
2022-09-13,994435.0284395792,906151.4019682793
2022-09-14,997929.8501101114,907028.8341241849
2022-09-15,990548.7446108438,901981.1383665162
2022-09-16,989817.3741427042,897920.1199329871
2022-09-19,998603.0271578409,903666.7002747288
2022-09-20,989714.8525057413,894535.2835720076
2022-09-21,980116.7936525919,879315.2125945113
2022-09-22,972524.6287508585,876195.1819694492
2022-09-23,954297.8559694864,862029.1561698371
2022-09-26,954168.8272982218,852427.2455628823
2022-09-27,943255.3487063028,848761.8425745262
2022-09-28,958701.7186098673,864748.0521927895
2022-09-29,937806.0069094278,851401.7634446094
2022-09-30,920886.3075838663,836832.8391886088
2022-10-03,932439.1734438516,859129.9487207732
2022-10-04,951851.1842623331,883176.403407812
2022-10-05,946304.9895144083,881939.7139642864
2022-10-06,934554.0034762003,871832.9427439246
2022-10-07,915287.330105839,853475.3732941538
2022-10-10,916014.2708864786,850739.6353077653
2022-10-11,919280.599637089,851797.3788897824
2022-10-12,923486.3655520059,850971.7812902628
2022-10-13,937320.2405520059,875089.359133704
2022-10-14,915343.9324007608,863323.1993266856
2022-10-17,932760.3049593546,879374.6715532638
2022-10-18,945116.9058046915,889220.7337315168
2022-10-19,938993.9974642374,886307.8137378986
2022-10-20,924476.9859133341,883679.5001669403
2022-10-21,942211.4462099649,905498.54829103
