date,ddpg,dji
2022-06-16,918845.2191812288,871836.7549451077
2022-06-17,919151.2749826204,870721.2593600919
2022-06-21,944167.337223221,889408.6126614695
2022-06-22,943170.7890207063,888035.9357429025
2022-06-23,960504.3224984895,893694.2095736548
2022-06-24,984216.6045724641,917679.2138535619
2022-06-27,979401.1670877229,915860.7938891894
2022-06-28,959122.2484170686,901549.1078652652
2022-06-29,963298.8579293977,903947.2669021052
2022-06-30,959963.2471811067,896551.1983170782
2022-07-01,974818.1963235628,905926.7665910978
2022-07-05,976063.625126053,902155.9306356908
2022-07-06,977232.7221261751,904191.0770822527
2022-07-07,984777.4984323274,914296.1413468609
2022-07-08,983547.3680764925,912944.4030855387
2022-07-11,975098.677860428,908157.7008626044
2022-07-12,971446.1335794221,902549.4977339593
2022-07-13,974095.1921426546,896474.2715111133
2022-07-14,974453.839466263,892319.4843081833
2022-07-15,981081.629902054,911490.9871598236
2022-07-18,974946.0948678743,905208.6503055337
2022-07-19,990651.3493844758,927187.0711984901
2022-07-20,990460.2415353548,928579.264311174
2022-07-21,999087.3736612092,933300.4194331678
2022-07-22,1002088.186542679,929291.5200486506
2022-07-25,1003124.2503091585,931935.2531199169
2022-07-26,992260.1041147005,925278.5808688496
2022-07-27,1007610.2066385042,937981.6317905261
2022-07-28,1024052.1201822053,947654.6655538832
2022-07-29,1029734.4602395784,956845.7688094575
2022-08-01,1040306.7063943635,955484.4146973898
2022-08-02,1032370.2644235383,943766.6755352501
2022-08-03,1044522.1436349641,955895.2220487702
2022-08-04,1040909.8945352327,953399.1975487205
2022-08-05,1033944.4358712923,955632.1232686064
2022-08-08,1034934.2198526155,956479.0009165215
2022-08-09,1028963.3928720247,954785.5870118419
2022-08-10,1042860.8543130647,970374.189736553
2022-08-11,1039527.0660135042,971165.4206268988
2022-08-12,1052871.3974954379,983528.4459624465
2022-08-15,1062359.8858682406,987938.7644416991
2022-08-16,1074265.0730172885,994917.9375331576
2022-08-17,1068655.6190225375,989916.2157837874
2022-08-18,1071101.0180246127,990461.5312485562
2022-08-19,1062085.7193643344,981946.2117758553
2022-08-22,1045816.6004678499,963210.5516266491
2022-08-23,1043462.4119149934,958723.6477325823
2022-08-24,1046620.7543527376,960461.1010957062
2022-08-25,1053686.4646798861,969857.664925496
2022-08-26,1023483.0202676546,940481.4684917589
2022-08-29,1020731.7083474885,935109.2235467946
2022-08-30,1009921.7001992952,926133.0260206059
2022-08-31,1002645.1881753694,917963.2512909707
2022-09-01,1009284.2794534456,922216.2453482611
2022-09-02,997245.3190500032,912370.183170008
2022-09-06,992650.7771646272,907326.2996135225
2022-09-07,1014191.9450113069,920027.2452897694
2022-09-08,1015117.079624344,925656.7284668101
2022-09-09,1027841.8394815217,936645.0854354113
2022-09-12,1034622.2343484651,943334.6450339991
2022-09-13,994435.2468759309,906151.4019682793
