date,a2c,ddpg,td3,ppo,sac,dji,nasdaq
2022-03-30,997922.8997070808,1038147.5447687533,1050085.1355372316,1065775.4335373533,1100683.5524619522,1026287.2324033914,1018907.662471632
2022-03-31,981594.6866791267,1025235.8340601352,1031650.1627512819,1052867.4847916258,1087004.9710334244,1010251.2934741717,1003151.7392201361
2022-04-01,984248.6691086311,1028096.768386307,1031494.038468445,1057915.7750900877,1089828.1307319107,1014327.3900168579,1004687.699608005
2022-04-04,1001412.9622757453,1035761.7307428744,1041857.7521601564,1061592.025929321,1095185.3764213028,1017345.7429775272,1024858.9230451826
2022-04-05,982466.1067154426,1023127.1022791293,1022961.8690348512,1052123.0274857176,1081523.1464484634,1009168.4007440506,1001944.9556426656
2022-04-06,964347.9564545173,1015848.5101618198,1009087.6989680177,1048556.5341690673,1073636.3525718155,1004953.9269882677,980193.1421497833
2022-04-07,970389.259860279,1020560.5908350375,1014726.9408732301,1056869.3718308103,1077788.3864844742,1007490.1218470535,982418.6837218897
2022-04-08,964179.9132721443,1016672.0387567905,1015158.2152796632,1056300.241719116,1077978.4560721817,1011497.257377292,968590.1547348875
2022-04-11,949132.0399963874,1004867.6733698276,999303.0754328615,1043013.4684952392,1060520.893694252,999464.4710815522,945804.0024757582
2022-04-12,950644.5139038581,1006138.2900995639,1002038.6360255128,1041787.8517960204,1062073.6829398575,996909.0445212752,942425.8139055086
2022-04-13,970413.8381378669,1019374.3202051547,1018774.0009165651,1054080.6424454344,1074242.9061377945,1006937.1819799184,961155.6839282031
2022-04-14,959343.6488831062,1013167.3159326938,1011456.853638733,1048215.6420181884,1065908.9299109878,1003634.7915818405,939246.3461935217
2022-04-18,960290.2710297126,1011181.07517952,1015425.1653300172,1044653.6950882567,1067927.3395331802,1002482.9378392716,940432.7955436353
2022-04-19,985426.6992981452,1031570.5322260287,1033263.5322657472,1062072.7603958738,1079441.9424308243,1017034.6218421602,960680.4043738395
2022-04-20,978110.3513367195,1031419.9459375766,1029889.6679240114,1065593.0692795408,1083555.4646705093,1024305.6843674944,946366.4947390138
2022-04-21,970132.0673859138,1021743.9220575717,1014799.1910181886,1054242.7447403562,1064361.4844687881,1013584.2952787653,927566.9733855993
2022-04-22,948863.0821106452,1000233.9511255649,990030.2345286256,1026392.0510758056,1035967.9745276872,984995.1761430401,902987.2498452652
2022-04-25,955115.2924072761,1002879.6237329867,987279.3508463746,1029297.7203720702,1033823.2048896257,991930.4235731044,914909.3129770992
2022-04-26,913570.1581680793,972094.4192804721,956321.477593506,1002222.9056900634,1012954.4572928849,968354.405891774,879517.5902620177
