date,ensemble,dji
2022-11-10,930191.519330406,921561.216236777
2022-11-11,930071.6375097274,922449.2367155949
2022-11-14,929595.8384336472,916677.4773043342
2022-11-15,930478.2101545332,918214.2428149299
2022-11-16,929254.400154686,917145.6713405991
2022-11-17,928017.946210289,916940.4560754449
2022-11-18,929939.7552946092,922389.9784054176
2022-11-21,928767.5027723312,921148.7570435975
2022-11-22,933844.1439603803,932022.6035752513
2022-11-23,936150.8535161972,934645.451123906
2022-11-25,937335.5874708174,938826.7388443562
2022-11-28,930122.6518941878,925226.3694141703
2022-11-29,930434.415272331,925310.2919939887
2022-11-30,946322.1641119,945461.6409213332
2022-12-01,945885.573689079,940138.2160045485
2022-12-02,946141.2789510724,941091.2604669661
2022-12-05,929378.3816801067,927895.2355784759
2022-12-06,919067.0674375532,918307.6680787228
2022-12-07,918967.590814018,918350.9106293927
2022-12-08,924606.7219785688,923368.2209961268
2022-12-09,915271.9670347212,915030.950455248
2022-12-12,927307.8091672896,929478.8738785632
2022-12-13,931034.5456174848,932310.6737029237
2022-12-14,928461.5407041548,928421.4066641575
2022-12-15,913333.0044797896,907534.9343754255
2022-12-16,901738.603692436,899833.4894869885
2022-12-19,896290.7406858442,895380.2541701033
2022-12-20,895782.2567991255,897900.3873144508
2022-12-21,909421.0217527387,912298.1280246429
2022-12-22,898041.9163755415,902758.928118602
2022-12-23,906028.8777402876,907581.7003931869
2022-12-27,905146.1209348676,908610.2324687493
2022-12-28,894873.4730772016,898610.3125475467
2022-12-29,906645.1283506393,908042.8474952687
2022-12-30,904010.6915525434,906032.4425901753
2023-01-03,897564.9800352094,905735.0833219888
2023-01-04,903734.5868162152,909381.3379031633
2023-01-05,896823.1077199933,900096.3614863693
2023-01-06,914135.4442045208,919244.376466443
2023-01-09,911100.5115583416,916156.751576885
2023-01-10,915947.092200279,921253.1797955856
2023-01-11,924022.881765556,928603.4524638911
2023-01-12,924981.1083951948,934533.6611225446
2023-01-13,926144.1618024824,937612.5307302385
2023-01-17,923647.984071922,926904.3939236209
2023-01-18,910325.2941862104,910124.5759160346
2023-01-19,902464.9012441632,903225.5205789164
2023-01-20,909469.5159658428,912271.0080052104
2023-01-23,913482.2385290142,919215.6548710598
2023-01-24,915942.356400108,922069.3429000804
2023-01-25,911754.7812078472,922339.3686053744
2023-01-26,914311.7429426188,927958.3376709349
2023-01-27,915565.4616331096,928741.9353977648
2023-01-30,911429.2602842328,921608.1957979986
2023-01-31,918634.7465040204,931692.8924728599
2023-02-01,921515.3831327434,931882.0919785068
2023-02-02,924792.8591306682,930815.549167047
2023-02-03,917706.9498327252,927318.7750079412
2023-02-06,918885.8021680828,926362.3138501619
2023-02-07,919962.8529294964,933624.0727542569
2023-02-08,913285.4452756878,927947.4469544699
2023-02-09,905994.373258781,921137.7595554026
2023-02-10,914235.5189268108,925767.8088572489
2023-02-13,919789.0898344036,936063.272927227
2023-02-14,917349.8317335123,931781.1926936104
2023-02-15,922032.7636022564,932841.2224295373
2023-02-16,914935.195438194,921055.0114646145
2023-02-17,921282.4310743328,924603.9969997144
2023-02-21,904338.4105024332,905549.7275986237
2023-02-22,901902.5076490398,903240.041534203
2023-02-23,902481.5569311138,906214.488389909
2023-02-24,899686.7857694621,897003.3980103089
2023-02-27,901912.6931882856,898976.0057229648
2023-02-28,894769.7051671977,892623.9419588875
2023-03-01,891271.6051694866,892764.453555632
2023-03-02,904063.9395162578,902105.1648155118
2023-03-03,916033.2053396832,912694.1443713948
2023-03-06,916745.3487723004,913800.4062664328
2023-03-07,903693.7640402446,898084.1414618652
2023-03-08,907691.6947348248,896497.0864664163
2023-03-09,896705.7530386577,881640.2273170133
2023-03-10,895809.0967155071,872204.1689021997
2023-03-13,895834.8759574505,869730.4814604238
2023-03-14,895818.6698966594,878921.6589123697
2023-03-15,895647.8776382061,871245.5723098196
2023-03-16,895631.6381240459,881413.1238471989
2023-03-17,895391.5166175456,870901.4470238715
2023-03-20,895732.4873550029,881359.2575093893
2023-03-21,895652.0057113261,889997.1972420863
2023-03-22,895602.981771812,875497.0090569119
2023-03-23,895493.5950126261,877550.8700561352
2023-03-24,895952.1688941568,881166.5345366508
2023-03-27,896201.8392936318,886484.3005517429
2023-03-28,896456.2115768045,885450.2697320831
2023-03-29,897628.2102943034,894288.566616217
2023-03-30,897909.7522307963,898154.3972602374
2023-03-31,899153.7238837809,909501.0290125484
2023-04-03,898915.2942313761,918439.1040784131
2023-04-04,897167.2212630839,
